,Match No,Match Center,Date,Day,Time India (IST),Time UAE,Venuue
0,2,Delhi Capitals (DC) Vs Kings XI Punjab (KXIP),20 September 2020,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
1,7,Chennai Super Kings (CSK) Vs Delhi Capitals (DC),25 September 2020,Friday,7:30 PM IST,6:00 PM UAE,DUBAI
2,11,Delhi Capitals (DC) Vs Sun Risers Hyderabad (SRH),29 September 2020,Tuesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
3,16,Delhi Capitals (DC) Vs Kolkata Knight Riders (KKR),03 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,SHARJAH
4,19,Royal Challengers Bangalore (RCB) Vs Delhi Capitals (DC),05 October 2020,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
5,23,Rajasthan Royals (RR) Vs Delhi Capitals (DC),09 October 2020,Friday,7:30 PM IST,6:00 PM UAE,SHARJAH
6,27,Mumbai Indians (MI) Vs Delhi Capitals (DC),11 October 2020,Sunday,7:30 PM IST,6:00 PM UAE,ABU DHABI
7,30,Delhi Capitals (DC) Vs Rajasthan Royals (RR),14 October 2020,Wednesday,7:30 PM IST,6:00 PM UAE,DUBAI
8,34,Delhi Capitals (DC) Vs Chennai Super Kings (CSK),17 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,SHARJAH
9,38,Kings XI Punjab (KXIP) Vs Delhi Capitals (DC),20 October 2020,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
10,42,Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC),24 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
11,47,Sun Risers Hyderabad (SRH) Vs Delhi Capitals (DC),27 October 2020,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
12,51,Delhi Capitals (DC) Vs Mumbai Indians (MI),31 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,DUBAI
13,55,Delhi Capitals (DC) Vs Royal Challengers Bangalore (RCB),02 November 2020,Monday,7:30 PM IST,6:00 PM UAE,ABU DHABI
