Match No,Match Center,Date,Day,Time India (IST),Venuue
1,Mumbai Indians (MI) Vs Chennai Super Kings (CSK),19 September 2020,Saturday,7:30 PM IST,ABU DHABI
2,Delhi Capitals (DC) Vs Kings XI Punjab (KXIP),20 September 2020,Sunday,7:30 PM IST,DUBAI
3,Sun Risers Hyderabad (SRH) Vs Royal Challengers Bangalore (RCB),21 September 2020,Monday,7:30 PM IST,DUBAI
4,Rajasthan Royals (RR) Vs Chennai Super Kings (CSK),22 September 2020,Tuesday,7:30 PM IST,SHARJAH
5,Kolkata Knight Riders (KKR) Vs Mumbai Indians (MI),23 September 2020,Wednesday,7:30 PM IST,ABU DHABI
6,Kings XI Punjab (KXIP) Vs Royal Challengers Bangalore (RCB),24 September 2020,Thursday,7:30 PM IST,DUBAI
7,Chennai Super Kings (CSK) Vs Delhi Capitals (DC),25 September 2020,Friday,7:30 PM IST,DUBAI
8,Kolkata Knight Riders (KKR) Vs Sun Risers Hyderabad (SRH),26 September 2020,Saturday,7:30 PM IST,ABU DHABI
9,Rajasthan Royals (RR) Vs Kings XI Punjab (KXIP),27 September 2020,Sunday,7:30 PM IST,SHARJAH
10,Royal Challengers Bangalore (RCB) Vs Mumbai Indians (MI),28 September 2020,Monday,7:30 PM IST,DUBAI
11,Delhi Capitals (DC) Vs Sun Risers Hyderabad (SRH),29 September 2020,Tuesday,7:30 PM IST,ABU DHABI
12,Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR),30 September 2020,Wednesday,7:30 PM IST,DUBAI
13,Kings XI Punjab (KXIP) Vs Mumbai Indians (MI),01 October 2020,Thursday,7:30 PM IST,ABU DHABI
14,Chennai Super Kings (CSK) Vs Sun Risers Hyderabad (SRH),02 October 2020,Friday,7:30 PM IST,DUBAI
15,Royal Challengers Bangalore (RCB) Vs Rajasthan Royals (RR),03 October 2020,Saturday,3:30 PM IST,ABU DHABI
16,Delhi Capitals (DC) Vs Kolkata Knight Riders (KKR),03 October 2020,Saturday,7:30 PM IST,SHARJAH
17,Mumbai Indians (MI) Vs Sun Risers Hyderabad (SRH),04 October 2020,Sunday,3:30 PM IST,SHARJAH
18,Kings XI Punjab (KXIP) Vs Chennai Super Kings (CSK),04 October 2020,Sunday,7:30 PM IST,DUBAI
19,Royal Challengers Bangalore (RCB) Vs Delhi Capitals (DC),05 October 2020,Monday,7:30 PM IST,DUBAI
20,Mumbai Indians (MI) Vs Rajasthan Royals (RR),06 October 2020,Tuesday,7:30 PM IST,ABU DHABI
21,Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK),07 October 2020,Wednesday,7:30 PM IST,ABU DHABI
22,Sun Risers Hyderabad (SRH) Vs Kings XI Punjab (KXIP),08 October 2020,Thursday,7:30 PM IST,DUBAI
23,Rajasthan Royals (RR) Vs Delhi Capitals (DC),09 October 2020,Friday,7:30 PM IST,SHARJAH
24,Kings XI Punjab (KXIP) Vs Kolkata Knight Riders (KKR),10 October 2020,Saturday,3:30 PM IST,ABU DHABI
25,Chennai Super Kings (CSK) Vs Royal Challengers Bangalore (RCB),10 October 2020,Saturday,7:30 PM IST,DUBAI
26,Sun Risers Hyderabad (SRH) Vs Rajasthan Royals (RR),11 October 2020,Sunday,3:30 PM IST,DUBAI
27,Mumbai Indians (MI) Vs Delhi Capitals (DC),11 October 2020,Sunday,7:30 PM IST,ABU DHABI
28,Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR),12 October 2020,Monday,7:30 PM IST,SHARJAH
29,Sun Risers Hyderabad (SRH) Vs Chennai Super Kings (CSK),13 October 2020,Tuesday,7:30 PM IST,DUBAI
30,Delhi Capitals (DC) Vs Rajasthan Royals (RR),14 October 2020,Wednesday,7:30 PM IST,DUBAI
31,Royal Challengers Bangalore (RCB) Vs Kings XI Punjab (KXIP),15 October 2020,Thursday,7:30 PM IST,SHARJAH
32,Mumbai Indians (MI) Vs Kolkata Knight Riders (KKR),16 October 2020,Friday,7:30 PM IST,ABU DHABI
33,Rajasthan Royals (RR) Vs Royal Challengers Bangalore (RCB),17 October 2020,Saturday,3:30 PM IST,DUBAI
34,Delhi Capitals (DC) Vs Chennai Super Kings (CSK),17 October 2020,Saturday,7:30 PM IST,SHARJAH
35,Sun Risers Hyderabad (SRH) Vs Kolkata Knight Riders (KKR),18 October 2020,Sunday,3:30 PM IST,ABU DHABI
36,Mumbai Indians (MI) Vs Kings XI Punjab (KXIP),18 October 2020,Sunday,7:30 PM IST,DUBAI
37,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),19 October 2020,Monday,7:30 PM IST,ABU DHABI
