,Match No,Match Center,Date,Day,Time India (IST),Time UAE,Venuue
0,3,Sun Risers Hyderabad (SRH) Vs Royal Challengers Bangalore (RCB),21 September 2020,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
1,6,Kings XI Punjab (KXIP) Vs Royal Challengers Bangalore (RCB),24 September 2020,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
2,10,Royal Challengers Bangalore (RCB) Vs Mumbai Indians (MI),28 September 2020,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
3,15,Royal Challengers Bangalore (RCB) Vs Rajasthan Royals (RR),03 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
4,19,Royal Challengers Bangalore (RCB) Vs Delhi Capitals (DC),05 October 2020,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
5,25,Chennai Super Kings (CSK) Vs Royal Challengers Bangalore (RCB),10 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,DUBAI
6,28,Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR),12 October 2020,Monday,7:30 PM IST,6:00 PM UAE,SHARJAH
7,31,Royal Challengers Bangalore (RCB) Vs Kings XI Punjab (KXIP),15 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,SHARJAH
8,33,Rajasthan Royals (RR) Royal Challengers Bangalore (RCB),17 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,DUBAI
9,39,Kolkata Knight Riders (KKR) Vs Royal Challengers Bangalore (RCB),21 October 2020,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
10,44,Royal Challengers Bangalore (RCB) Vs Chennai Super Kings (CSK),24 October 2020,Sunday,3:30 PM IST,2:00 PM UAE,DUBAI
11,48,Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB),28 October 2020,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
12,52,Royal Challengers Bangalore (RCB) Vs Sun Risers Hyderabad (SRH),31 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,SHARJAH
13,55,Delhi Capitals (DC) Vs Royal Challengers Bangalore (RCB),02 November 2020,Monday,7:30 PM IST,6:00 PM UAE,ABU DHABI
