,Match No,Match Center,Date,Day,Time India (IST),Time UAE,Venuue
0,1,Mumbai Indians (MI) Vs Chennai Super Kings (CSK),19 September 2020,Saturday,7:30 PM IST,6:00 PM UAE,ABU DHABI
1,4,Rajasthan Royals (RR) Vs Chennai Super Kings (CSK),22 September 2020,Tuesday,7:30 PM IST,6:00 PM UAE,SHARJAH
2,7,Chennai Super Kings (CSK) Vs Delhi Capitals (DC),25 September 2020,Friday,7:30 PM IST,6:00 PM UAE,DUBAI
3,14,Chennai Super Kings (CSK) Vs Sun Risers Hyderabad (SRH),02 October 2020,Friday,7:30 PM IST,6:00 PM UAE,DUBAI
4,18,Kings XI Punjab (KXIP) Vs Chennai Super Kings (CSK),04 October 2020,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
5,21,Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK),07 October 2020,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
6,25,Chennai Super Kings (CSK) Vs Royal Challengers Bangalore (RCB),10 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,DUBAI
7,29,Sun Risers Hyderabad (SRH) Vs Chennai Super Kings (CSK),13 October 2020,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
8,34,Delhi Capitals (DC) Vs Chennai Super Kings (CSK),17 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,SHARJAH
9,37,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),19 October 2020,Monday,7:30 PM IST,6:00 PM UAE,ABU DHABI
10,41,Chennai Super Kings (CSK) Vs Mumbai Indians (MI),23 October 2020,Friday,7:30 PM IST,6:00 PM UAE,SHARJAH
11,44,Royal Challengers Bangalore (RCB) Vs Chennai Super Kings (CSK),24 October 2020,Sunday,3:30 PM IST,2:00 PM UAE,DUBAI
12,49,Chennai Super Kings (CSK) Vs Kolkata Knight Riders (KKR),29 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
13,53,Chennai Super Kings (CSK) Vs Kings XI Punjab (KXIP),01 November 2020,Sunday,3:30 PM IST,2:00 PM UAE,ABU DHABI
