,Match No,Match Center,Date,Day,Time India (IST),Time UAE,Venuue
0,5,Kolkata Knight Riders (KKR) Vs Mumbai Indians (MI),23 September 2020,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
1,8,Kolkata Knight Riders (KKR) Vs Sun Risers Hyderabad (SRH),26 September 2020,Saturday,7:30 PM IST,6:00 PM UAE,ABU DHABI
2,12,Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR),30 September 2020,Wednesday,7:30 PM IST,6:00 PM UAE,DUBAI
3,16,Delhi Capitals (DC) Vs Kolkata Knight Riders (KKR),03 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,SHARJAH
4,21,Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK),07 October 2020,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
5,24,Kings XI Punjab (KXIP) Vs Kolkata Knight Riders (KKR),10 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
6,28,Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR),12 October 2020,Monday,7:30 PM IST,6:00 PM UAE,SHARJAH
7,32,Mumbai Indians (MI) Vs Kolkata Knight Riders (KKR),16 October 2020,Friday,7:30 PM IST,6:00 PM UAE,ABU DHABI
8,35,Sun Risers Hyderabad (SRH) Vs Kolkata Knight Riders (KKR),18 October 2020,Sunday,3:30 PM IST,2:00 PM UAE,ABU DHABI
9,39,Kolkata Knight Riders (KKR) Vs Royal Challengers Bangalore (RCB),21 October 2020,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
10,42,Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC),24 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
11,46,Kolkata Knight Riders (KKR) Vs Kings XI Punjab (KXIP),26 October 2020,Monday,7:30 PM IST,6:00 PM UAE,SHARJAH
12,49,Chennai Super Kings (CSK) Vs Kolkata Knight Riders (KKR),29 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
13,54,Kolkata Knight Riders (KKR) Vs Rajasthan Royals (RR),01 November 2020,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
