,Match No,Match Center,Date,Day,Time India (IST),Time UAE,Venuue
0,1,Mumbai Indians (MI) Vs Chennai Super Kings (CSK),19 September 2020,Saturday,7:30 PM IST,6:00 PM UAE,ABU DHABI
1,5,Kolkata Knight Riders (KKR) Vs Mumbai Indians (MI),23 September 2020,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
2,10,Royal Challengers Bangalore (RCB) Vs Mumbai Indians (MI),28 September 2020,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
3,13,Kings XI Punjab (KXIP) Vs Mumbai Indians (MI),01 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,ABU DHABI
4,17,Mumbai Indians (MI) Vs Sun Risers Hyderabad (SRH),04 October 2020,Sunday,3:30 PM IST,2:00 PM UAE,SHARJAH
5,20,Mumbai Indians (MI) Vs Rajasthan Royals (RR),06 October 2020,Tuesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
6,27,Mumbai Indians (MI) Vs Delhi Capitals (DC),11 October 2020,Sunday,7:30 PM IST,6:00 PM UAE,ABU DHABI
7,32,Mumbai Indians (MI) Vs Kolkata Knight Riders (KKR),16 October 2020,Friday,7:30 PM IST,6:00 PM UAE,ABU DHABI
8,36,Mumbai Indians (MI) Vs Kings XI Punjab (KXIP),18 October 2020,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
9,41,Chennai Super Kings (CSK) Vs Mumbai Indians (MI),23 October 2020,Friday,7:30 PM IST,6:00 PM UAE,SHARJAH
10,45,Rajasthan Royals (RR) Vs Mumbai Indians (MI),25 October 2020,Sunday,7:30 PM IST,6:00 PM UAE,ABU DHABI
11,48,Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB),28 October 2020,Wednesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
12,51,Delhi Capitals (DC) Vs Mumbai Indians (MI),31 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,DUBAI
13,56,Sun Risers Hyderabad (SRH) Vs Mumbai Indians (MI),03 November 2020,Tuesday,7:30 PM IST,6:00 PM UAE,SHARJAH
