,Match No,Match Center,Date,Day,Time India (IST),Time UAE,Venuue
0,2,Delhi Capitals (DC) Vs Kings XI Punjab (KXIP),20 September 2020,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
1,6,Kings XI Punjab (KXIP) Vs Royal Challengers Bangalore (RCB),24 September 2020,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
2,9,Rajasthan Royals (RR) Vs Kings XI Punjab (KXIP),27 September 2020,Sunday,7:30 PM IST,6:00 PM UAE,SHARJAH
3,13,Kings XI Punjab (KXIP) Vs Mumbai Indians (MI),01 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,ABU DHABI
4,18,Kings XI Punjab (KXIP) Vs Chennai Super Kings (CSK),04 October 2020,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
5,22,Sun Risers Hyderabad (SRH) Vs Kings XI Punjab (KXIP),08 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
6,24,Kings XI Punjab (KXIP) Vs Kolkata Knight Riders (KKR),10 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
7,31,Royal Challengers Bangalore (RCB) Vs Kings XI Punjab (KXIP),15 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,SHARJAH
8,36,Mumbai Indians (MI) Vs Kings XI Punjab (KXIP),18 October 2020,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
9,38,Kings XI Punjab (KXIP) Vs Delhi Capitals (DC),20 October 2020,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
10,43,Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH),24 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,DUBAI
11,46,Kolkata Knight Riders (KKR) Vs Kings XI Punjab (KXIP),26 October 2020,Monday,7:30 PM IST,6:00 PM UAE,SHARJAH
12,50,Kings XI Punjab (KXIP) Vs Rajasthan Royals (RR),30 October 2020,Friday,7:30 PM IST,6:00 PM UAE,ABU DHABI
13,53,Chennai Super Kings (CSK) Vs Kings XI Punjab (KXIP),01 November 2020,Sunday,3:30 PM IST,2:00 PM UAE,ABU DHABI
