,Match No,Match Center,Date,Day,Time India (IST),Time UAE,Venuue
0,4,Rajasthan Royals (RR) Vs Chennai Super Kings (CSK),22 September 2020,Tuesday,7:30 PM IST,6:00 PM UAE,SHARJAH
1,9,Rajasthan Royals (RR) Vs Kings XI Punjab (KXIP),27 September 2020,Sunday,7:30 PM IST,6:00 PM UAE,SHARJAH
2,12,Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR),30 September 2020,Wednesday,7:30 PM IST,6:00 PM UAE,DUBAI
3,15,Royal Challengers Bangalore (RCB) Vs Rajasthan Royals (RR),03 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,ABU DHABI
4,20,Mumbai Indians (MI) Vs Rajasthan Royals (RR),06 October 2020,Tuesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
5,23,Rajasthan Royals (RR) Vs Delhi Capitals (DC),09 October 2020,Friday,7:30 PM IST,6:00 PM UAE,SHARJAH
6,26,Sun Risers Hyderabad (SRH) Vs Rajasthan Royals (RR),11 October 2020,Sunday,3:30 PM IST,2:00 PM UAE,DUBAI
7,30,Delhi Capitals (DC) Vs Rajasthan Royals (RR),14 October 2020,Wednesday,7:30 PM IST,6:00 PM UAE,DUBAI
8,33,Rajasthan Royals (RR) ROYAL Vs CHALLENGERS BANGALORE,17 October 2020,Saturday,3:30 PM IST,2:00 PM UAE,DUBAI
9,37,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),19 October 2020,Monday,7:30 PM IST,6:00 PM UAE,ABU DHABI
10,40,Rajasthan Royals (RR) Vs Sun Risers Hyderabad (SRH),22 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
11,45,Rajasthan Royals (RR) Vs Mumbai Indians (MI),25 October 2020,Sunday,7:30 PM IST,6:00 PM UAE,ABU DHABI
12,50,Kings XI Punjab (KXIP) Vs Rajasthan Royals (RR),30 October 2020,Friday,7:30 PM IST,6:00 PM UAE,ABU DHABI
13,54,Kolkata Knight Riders (KKR) Vs Rajasthan Royals (RR),01 November 2020,Sunday,7:30 PM IST,6:00 PM UAE,DUBAI
