,Match No,Match Center,Date,Day,Time India (IST),Time UAE,Venuue
0,3,Sun Risers Hyderabad (SRH) Vs Royal Challengers Bangalore (RCB),21 September 2020,Monday,7:30 PM IST,6:00 PM UAE,DUBAI
1,8,Kolkata Knight Riders (KKR) Vs Sun Risers Hyderabad (SRH),26 September 2020,Saturday,7:30 PM IST,6:00 PM UAE,ABU DHABI
2,11,Delhi Capitals (DC) Vs Sun Risers Hyderabad (SRH),29 September 2020,Tuesday,7:30 PM IST,6:00 PM UAE,ABU DHABI
3,14,Chennai Super Kings (CSK) Vs Sun Risers Hyderabad (SRH),02 October 2020,Friday,7:30 PM IST,6:00 PM UAE,DUBAI
4,17,Mumbai Indians (MI) Vs Sun Risers Hyderabad (SRH),04 October 2020,Sunday,3:30 PM IST,2:00 PM UAE,SHARJAH
5,22,Sun Risers Hyderabad (SRH) Vs Kings XI Punjab (KXIP),08 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
6,26,Sun Risers Hyderabad (SRH) Vs Rajasthan Royals (RR),11 October 2020,Sunday,3:30 PM IST,2:00 PM UAE,DUBAI
7,29,Sun Risers Hyderabad (SRH) Vs Chennai Super Kings (CSK),13 October 2020,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
8,35,Sun Risers Hyderabad (SRH) Vs Kolkata Knight Riders (KKR),18 October 2020,Sunday,3:30 PM IST,2:00 PM UAE,ABU DHABI
9,40,Rajasthan Royals (RR) Vs Sun Risers Hyderabad (SRH),22 October 2020,Thursday,7:30 PM IST,6:00 PM UAE,DUBAI
10,43,Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH),24 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,DUBAI
11,47,Sun Risers Hyderabad (SRH) Vs Delhi Capitals (DC),27 October 2020,Tuesday,7:30 PM IST,6:00 PM UAE,DUBAI
12,52,Royal Challengers Bangalore (RCB) Vs Sun Risers Hyderabad (SRH),31 October 2020,Saturday,7:30 PM IST,6:00 PM UAE,SHARJAH
13,56,Sun Risers Hyderabad (SRH) Mumbai Indians (MI),03 November 2020,Tuesday,7:30 PM IST,6:00 PM UAE,SHARJAH
